period,state,stateDescription,estimated-losses,facility-direct,full-service-providers,total-elect-indust,estimated-losses-units,facility-direct-units,full-service-providers-units,total-elect-indust-units
2021,AK,Alaska,280836,,5969339,5969339,megawatthours,megawatthours,megawatthours,megawatthours
2021,IN,Indiana,4692418,4251,99735795,99740046,megawatthours,megawatthours,megawatthours,megawatthours
2021,AR,Arkansas,2289429,35098,48628044,48663142,megawatthours,megawatthours,megawatthours,megawatthours
2021,AZ,Arizona,3821114,86757,81133233,81219990,megawatthours,megawatthours,megawatthours,megawatthours
2021,CA,California,11632235,2126722,170506603,247249865,megawatthours,megawatthours,megawatthours,megawatthours
2021,CO,Colorado,2651126,180562,56170647,56351209,megawatthours,megawatthours,megawatthours,megawatthours
2021,CT,Connecticut,1304957,161800,14629759,27737606,megawatthours,megawatthours,megawatthours,megawatthours
2021,DC,District of Columbia,474387,10783,3056792,10083372,megawatthours,megawatthours,megawatthours,megawatthours
2021,DE,Delaware,540077,1718,7375890,11479655,megawatthours,megawatthours,megawatthours,megawatthours
2021,FL,Florida,11364645,8787,241553295,241562082,megawatthours,megawatthours,megawatthours,megawatthours
2021,GA,Georgia,6462490,12039,137351913,137363952,megawatthours,megawatthours,megawatthours,megawatthours
2021,HI,Hawaii,420430,52440,8884042,8936482,megawatthours,megawatthours,megawatthours,megawatthours
2021,IA,Iowa,2488442,89187,52804082,52893269,megawatthours,megawatthours,megawatthours,megawatthours
2021,ID,Idaho,1189599,,25285616,25285616,megawatthours,megawatthours,megawatthours,megawatthours
2021,IL,Illinois,6383682,525764,51969512,135688833,megawatthours,megawatthours,megawatthours,megawatthours
2021,AL,Alabama,4026481,17209,85567957,85585166,megawatthours,megawatthours,megawatthours,megawatthours
